DateTime, MainStage, SubStage, MetaData, CPU (%), Used Memory (MB), Max Heap (MB)
Wed Sep 10 09:34:14 IST 2025, Base source processing, <not set>, <not set>, 17.86, 257.77, 4294.97
Wed Sep 10 09:34:15 IST 2025, Base source processing, <not set>, <not set>, 20.58, 234.17, 4294.97
Wed Sep 10 09:34:16 IST 2025, Base source processing, <not set>, <not set>, 19.44, 241.28, 4294.97
Wed Sep 10 09:34:17 IST 2025, Base source processing, <not set>, <not set>, 19.79, 249.34, 4294.97
Wed Sep 10 09:34:18 IST 2025, Base source processing, <not set>, <not set>, 18.07, 221.04, 4294.97
Wed Sep 10 09:34:19 IST 2025, Base source processing, <not set>, <not set>, 17.39, 257.69, 4294.97
Wed Sep 10 09:34:20 IST 2025, Base source processing, <not set>, <not set>, 18.75, 244.69, 4294.97
Wed Sep 10 09:34:21 IST 2025, Base source processing, <not set>, <not set>, 19.13, 267.39, 4294.97
Wed Sep 10 09:34:22 IST 2025, Base source processing, <not set>, <not set>, 20.94, 251.38, 4294.97
Wed Sep 10 09:34:23 IST 2025, Base source processing, <not set>, <not set>, 19.90, 283.88, 4294.97
Wed Sep 10 09:34:24 IST 2025, Base source processing, io.joern.kotlin2cpg.passes.AstCreationPass, Started, 19.88, 254.63, 4294.97
Wed Sep 10 09:34:24 IST 2025, Base source processing, io.joern.kotlin2cpg.passes.AstCreationPass, ForkJoinParallelCpgPass, 25.35, 258.80, 4294.97
Wed Sep 10 09:34:25 IST 2025, Base source processing, io.joern.kotlin2cpg.passes.AstCreationPass, ForkJoinParallelCpgPass, 22.77, 293.49, 4294.97
Wed Sep 10 09:34:26 IST 2025, Base source processing, io.joern.kotlin2cpg.passes.AstCreationPass, ForkJoinParallelCpgPass, 23.17, 261.93, 4294.97
Wed Sep 10 09:34:27 IST 2025, Base source processing, io.joern.kotlin2cpg.passes.AstCreationPass, ForkJoinParallelCpgPass, 24.40, 283.75, 4294.97
Wed Sep 10 09:34:29 IST 2025, Base source processing, io.joern.kotlin2cpg.passes.AstCreationPass, ForkJoinParallelCpgPass, 25.20, 296.33, 4294.97
Wed Sep 10 09:34:30 IST 2025, Base source processing, io.joern.kotlin2cpg.passes.AstCreationPass, ForkJoinParallelCpgPass, 25.49, 350.77, 4294.97
Wed Sep 10 09:34:30 IST 2025, Base source processing, io.joern.kotlin2cpg.passes.AstCreationPass, Done, 24.40, 290.85, 4294.97
Wed Sep 10 09:34:30 IST 2025, Base source processing, io.joern.x2cpg.passes.frontend.TypeNodePass, Started, 13.06, 363.36, 4294.97
Wed Sep 10 09:34:30 IST 2025, Base source processing, io.joern.x2cpg.passes.frontend.TypeNodePass, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:30 IST 2025, Base source processing, io.joern.javasrc2cpg.passes.AstCreationPass, Started, 19.75, 365.38, 4294.97
Wed Sep 10 09:34:31 IST 2025, Base source processing, io.joern.javasrc2cpg.passes.AstCreationPass, ForkJoinParallelCpgPass, 17.39, 326.96, 4294.97
Wed Sep 10 09:34:31 IST 2025, Base source processing, io.joern.javasrc2cpg.passes.AstCreationPass, Done, 17.39, 326.96, 4294.97
Wed Sep 10 09:34:31 IST 2025, Base source processing, io.joern.x2cpg.passes.frontend.TypeNodePass, Started, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:31 IST 2025, Base source processing, io.joern.x2cpg.passes.frontend.TypeNodePass, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:31 IST 2025, Base source processing, io.joern.kotlin2cpg.passes.ConfigPass, Started, 22.04, 373.15, 4294.97
Wed Sep 10 09:34:31 IST 2025, Base source processing, io.joern.kotlin2cpg.passes.ConfigPass, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:31 IST 2025, Base source processing, io.joern.kotlin2cpg.passes.DependenciesFromMavenCoordinatesPass, Started, 24.19, 374.91, 4294.97
Wed Sep 10 09:34:31 IST 2025, Base source processing, io.joern.kotlin2cpg.passes.DependenciesFromMavenCoordinatesPass, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:31 IST 2025, Base source processing, <not set>, Done, 18.93, 186.37, 4294.97
Wed Sep 10 09:34:31 IST 2025, Default overlays, <not set>, Started, 23.07, 375.24, 4294.97
Wed Sep 10 09:34:31 IST 2025, Default overlays, io.joern.x2cpg.passes.base.FileCreationPass, Started, 30.29, 333.87, 4294.97
Wed Sep 10 09:34:31 IST 2025, Default overlays, io.joern.x2cpg.passes.base.FileCreationPass, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:31 IST 2025, Default overlays, io.joern.x2cpg.passes.base.NamespaceCreator, Started, 19.01, 341.09, 4294.97
Wed Sep 10 09:34:31 IST 2025, Default overlays, io.joern.x2cpg.passes.base.NamespaceCreator, Done, 0.00, 0.00, 4294.97
