DateTime, MainStage, SubStage, MetaData, CPU (%), Used Memory (MB), Max Heap (MB)
Wed Sep 10 09:58:44 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 268.82, 4294.97
Wed Sep 10 09:58:45 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 268.82, 4294.97
Wed Sep 10 09:58:46 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.83, 4294.97
Wed Sep 10 09:58:47 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.83, 4294.97
Wed Sep 10 09:58:48 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.84, 4294.97
Wed Sep 10 09:58:49 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.85, 4294.97
Wed Sep 10 09:58:50 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.85, 4294.97
Wed Sep 10 09:58:51 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.86, 4294.97
Wed Sep 10 09:58:52 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.86, 4294.97
Wed Sep 10 09:58:53 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.86, 4294.97
Wed Sep 10 09:58:54 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.87, 4294.97
Wed Sep 10 09:58:55 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.87, 4294.97
Wed Sep 10 09:58:56 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.88, 4294.97
Wed Sep 10 09:58:57 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.89, 4294.97
Wed Sep 10 09:58:58 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.89, 4294.97
Wed Sep 10 09:58:59 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 268.90, 4294.97
Wed Sep 10 09:59:00 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 268.90, 4294.97
Wed Sep 10 09:59:01 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.91, 4294.97
Wed Sep 10 09:59:02 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.91, 4294.97
Wed Sep 10 09:59:03 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.92, 4294.97
Wed Sep 10 09:59:04 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.92, 4294.97
Wed Sep 10 09:59:05 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.93, 4294.97
Wed Sep 10 09:59:06 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.93, 4294.97
Wed Sep 10 09:59:07 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.94, 4294.97
Wed Sep 10 09:59:08 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 268.94, 4294.97
Wed Sep 10 09:59:09 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.95, 4294.97
Wed Sep 10 09:59:10 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.95, 4294.97
Wed Sep 10 09:59:11 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.96, 4294.97
Wed Sep 10 09:59:12 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.96, 4294.97
Wed Sep 10 09:59:13 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.97, 4294.97
Wed Sep 10 09:59:14 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 268.97, 4294.97
Wed Sep 10 09:59:15 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 268.98, 4294.97
Wed Sep 10 09:59:16 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.99, 4294.97
Wed Sep 10 09:59:17 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 268.99, 4294.97
Wed Sep 10 09:59:18 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.00, 4294.97
Wed Sep 10 09:59:19 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.00, 4294.97
Wed Sep 10 09:59:20 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.00, 4294.97
Wed Sep 10 09:59:21 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.01, 4294.97
Wed Sep 10 09:59:22 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.01, 4294.97
Wed Sep 10 09:59:23 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.02, 4294.97
Wed Sep 10 09:59:24 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.03, 4294.97
Wed Sep 10 09:59:25 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.03, 4294.97
Wed Sep 10 09:59:26 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.04, 4294.97
Wed Sep 10 09:59:27 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.04, 4294.97
Wed Sep 10 09:59:28 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.05, 4294.97
Wed Sep 10 09:59:29 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.05, 4294.97
Wed Sep 10 09:59:30 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.06, 4294.97
Wed Sep 10 09:59:31 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.06, 4294.97
Wed Sep 10 09:59:32 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.07, 4294.97
Wed Sep 10 09:59:33 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.07, 4294.97
Wed Sep 10 09:59:34 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.08, 4294.97
Wed Sep 10 09:59:35 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.08, 4294.97
Wed Sep 10 09:59:36 IST 2025, Tagging ..., <not set>, <not set>, 0.07, 269.09, 4294.97
Wed Sep 10 09:59:37 IST 2025, Tagging ..., <not set>, <not set>, 0.06, 269.09, 4294.97
Wed Sep 10 09:59:38 IST 2025, Tagging ..., <not set>, <not set>, 0.05, 269.10, 4294.97
Wed Sep 10 09:59:39 IST 2025, Tagging ..., <not set>, <not set>, 0.03, 269.10, 4294.97
Wed Sep 10 09:59:40 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.11, 4294.97
Wed Sep 10 09:59:41 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.11, 4294.97
Wed Sep 10 09:59:42 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.12, 4294.97
Wed Sep 10 09:59:43 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.12, 4294.97
Wed Sep 10 09:59:44 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.13, 4294.97
Wed Sep 10 09:59:45 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.13, 4294.97
Wed Sep 10 09:59:46 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.14, 4294.97
Wed Sep 10 09:59:47 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.14, 4294.97
Wed Sep 10 09:59:48 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.15, 4294.97
Wed Sep 10 09:59:49 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.15, 4294.97
Wed Sep 10 09:59:50 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.16, 4294.97
Wed Sep 10 09:59:51 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.16, 4294.97
Wed Sep 10 09:59:52 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.17, 4294.97
Wed Sep 10 09:59:53 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.18, 4294.97
Wed Sep 10 09:59:54 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.18, 4294.97
Wed Sep 10 09:59:55 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.19, 4294.97
Wed Sep 10 09:59:56 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.19, 4294.97
Wed Sep 10 09:59:57 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.20, 4294.97
Wed Sep 10 09:59:58 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.20, 4294.97
Wed Sep 10 09:59:59 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.20, 4294.97
Wed Sep 10 10:00:00 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.21, 4294.97
Wed Sep 10 10:00:01 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.22, 4294.97
Wed Sep 10 10:00:02 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.22, 4294.97
Wed Sep 10 10:00:03 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.23, 4294.97
Wed Sep 10 10:00:04 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.23, 4294.97
Wed Sep 10 10:00:05 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.24, 4294.97
Wed Sep 10 10:00:06 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.24, 4294.97
Wed Sep 10 10:00:07 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.25, 4294.97
Wed Sep 10 10:00:08 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.25, 4294.97
Wed Sep 10 10:00:09 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.26, 4294.97
Wed Sep 10 10:00:10 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.26, 4294.97
Wed Sep 10 10:00:11 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.27, 4294.97
Wed Sep 10 10:00:12 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.27, 4294.97
Wed Sep 10 10:00:13 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.28, 4294.97
Wed Sep 10 10:00:14 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.28, 4294.97
Wed Sep 10 10:00:15 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.29, 4294.97
Wed Sep 10 10:00:16 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.29, 4294.97
Wed Sep 10 10:00:17 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.30, 4294.97
Wed Sep 10 10:00:18 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.31, 4294.97
Wed Sep 10 10:00:19 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.31, 4294.97
Wed Sep 10 10:00:20 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.32, 4294.97
Wed Sep 10 10:00:21 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.32, 4294.97
Wed Sep 10 10:00:22 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.33, 4294.97
Wed Sep 10 10:00:23 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.33, 4294.97
Wed Sep 10 10:00:25 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.34, 4294.97
Wed Sep 10 10:00:26 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.34, 4294.97
Wed Sep 10 10:00:27 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.35, 4294.97
Wed Sep 10 10:00:28 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.35, 4294.97
Wed Sep 10 10:00:29 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.36, 4294.97
Wed Sep 10 10:00:30 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.36, 4294.97
Wed Sep 10 10:00:31 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.37, 4294.97
Wed Sep 10 10:00:32 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.37, 4294.97
Wed Sep 10 10:00:33 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.38, 4294.97
Wed Sep 10 10:00:34 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.38, 4294.97
Wed Sep 10 10:00:35 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.39, 4294.97
Wed Sep 10 10:00:36 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.39, 4294.97
Wed Sep 10 10:00:37 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.40, 4294.97
Wed Sep 10 10:00:38 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.40, 4294.97
Wed Sep 10 10:00:39 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.41, 4294.97
Wed Sep 10 10:00:40 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.42, 4294.97
Wed Sep 10 10:00:41 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.42, 4294.97
Wed Sep 10 10:00:42 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.42, 4294.97
Wed Sep 10 10:00:43 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.43, 4294.97
Wed Sep 10 10:00:44 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.43, 4294.97
Wed Sep 10 10:00:45 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.44, 4294.97
Wed Sep 10 10:00:46 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.44, 4294.97
Wed Sep 10 10:00:47 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.45, 4294.97
Wed Sep 10 10:00:48 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.46, 4294.97
Wed Sep 10 10:00:49 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.46, 4294.97
Wed Sep 10 10:00:50 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.47, 4294.97
Wed Sep 10 10:00:51 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.47, 4294.97
Wed Sep 10 10:00:52 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.48, 4294.97
Wed Sep 10 10:00:53 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.48, 4294.97
Wed Sep 10 10:00:54 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.48, 4294.97
Wed Sep 10 10:00:55 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.49, 4294.97
Wed Sep 10 10:00:56 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.50, 4294.97
Wed Sep 10 10:00:57 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.50, 4294.97
Wed Sep 10 10:00:58 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.51, 4294.97
Wed Sep 10 10:00:59 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.51, 4294.97
Wed Sep 10 10:01:00 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.52, 4294.97
Wed Sep 10 10:01:01 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.52, 4294.97
Wed Sep 10 10:01:02 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.53, 4294.97
Wed Sep 10 10:01:03 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.53, 4294.97
Wed Sep 10 10:01:04 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.54, 4294.97
Wed Sep 10 10:01:05 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.54, 4294.97
Wed Sep 10 10:01:06 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.55, 4294.97
Wed Sep 10 10:01:07 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.55, 4294.97
Wed Sep 10 10:01:08 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.56, 4294.97
Wed Sep 10 10:01:09 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.56, 4294.97
Wed Sep 10 10:01:10 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.57, 4294.97
Wed Sep 10 10:01:11 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.57, 4294.97
Wed Sep 10 10:01:12 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.58, 4294.97
Wed Sep 10 10:01:13 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.58, 4294.97
Wed Sep 10 10:01:14 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.59, 4294.97
Wed Sep 10 10:01:15 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.59, 4294.97
Wed Sep 10 10:01:16 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.60, 4294.97
Wed Sep 10 10:01:17 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.61, 4294.97
Wed Sep 10 10:01:18 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.61, 4294.97
Wed Sep 10 10:01:19 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.62, 4294.97
Wed Sep 10 10:01:20 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.62, 4294.97
Wed Sep 10 10:01:21 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.62, 4294.97
Wed Sep 10 10:01:22 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.63, 4294.97
Wed Sep 10 10:01:23 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.63, 4294.97
Wed Sep 10 10:01:24 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.64, 4294.97
Wed Sep 10 10:01:25 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.65, 4294.97
Wed Sep 10 10:01:26 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.65, 4294.97
Wed Sep 10 10:01:27 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.66, 4294.97
Wed Sep 10 10:01:28 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.66, 4294.97
Wed Sep 10 10:01:29 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.67, 4294.97
Wed Sep 10 10:01:30 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.67, 4294.97
Wed Sep 10 10:01:31 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.68, 4294.97
Wed Sep 10 10:01:32 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.68, 4294.97
Wed Sep 10 10:01:33 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.69, 4294.97
Wed Sep 10 10:01:34 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.69, 4294.97
Wed Sep 10 10:01:35 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.70, 4294.97
Wed Sep 10 10:01:36 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.70, 4294.97
Wed Sep 10 10:01:37 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.71, 4294.97
Wed Sep 10 10:01:38 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.71, 4294.97
Wed Sep 10 10:01:39 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.72, 4294.97
Wed Sep 10 10:01:40 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.72, 4294.97
Wed Sep 10 10:01:41 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.73, 4294.97
Wed Sep 10 10:01:42 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.73, 4294.97
Wed Sep 10 10:01:43 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.74, 4294.97
Wed Sep 10 10:01:44 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.75, 4294.97
Wed Sep 10 10:01:45 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.75, 4294.97
Wed Sep 10 10:01:46 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.75, 4294.97
Wed Sep 10 10:01:47 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.76, 4294.97
Wed Sep 10 10:01:48 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.76, 4294.97
Wed Sep 10 10:01:49 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.77, 4294.97
Wed Sep 10 10:01:50 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.77, 4294.97
Wed Sep 10 10:01:51 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.78, 4294.97
Wed Sep 10 10:01:52 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.79, 4294.97
Wed Sep 10 10:01:53 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.79, 4294.97
Wed Sep 10 10:01:54 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.80, 4294.97
Wed Sep 10 10:01:55 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.80, 4294.97
Wed Sep 10 10:01:56 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.81, 4294.97
Wed Sep 10 10:01:57 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.81, 4294.97
Wed Sep 10 10:01:58 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.82, 4294.97
Wed Sep 10 10:01:59 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.82, 4294.97
Wed Sep 10 10:02:00 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.83, 4294.97
Wed Sep 10 10:02:01 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.83, 4294.97
Wed Sep 10 10:02:02 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.84, 4294.97
Wed Sep 10 10:02:03 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.84, 4294.97
Wed Sep 10 10:02:04 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.85, 4294.97
Wed Sep 10 10:02:05 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.85, 4294.97
Wed Sep 10 10:02:06 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.86, 4294.97
Wed Sep 10 10:02:07 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.86, 4294.97
Wed Sep 10 10:02:08 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.87, 4294.97
Wed Sep 10 10:02:09 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.87, 4294.97
Wed Sep 10 10:02:10 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.88, 4294.97
Wed Sep 10 10:02:11 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.88, 4294.97
Wed Sep 10 10:02:12 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.89, 4294.97
Wed Sep 10 10:02:13 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.89, 4294.97
Wed Sep 10 10:02:14 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.90, 4294.97
Wed Sep 10 10:02:15 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.90, 4294.97
Wed Sep 10 10:02:16 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.91, 4294.97
Wed Sep 10 10:02:17 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.91, 4294.97
Wed Sep 10 10:02:18 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.92, 4294.97
Wed Sep 10 10:02:19 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.92, 4294.97
Wed Sep 10 10:02:20 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.93, 4294.97
Wed Sep 10 10:02:21 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.94, 4294.97
Wed Sep 10 10:02:22 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.94, 4294.97
Wed Sep 10 10:02:23 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.95, 4294.97
Wed Sep 10 10:02:24 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.95, 4294.97
Wed Sep 10 10:02:25 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.95, 4294.97
Wed Sep 10 10:02:26 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.96, 4294.97
Wed Sep 10 10:02:27 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.96, 4294.97
Wed Sep 10 10:02:28 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.97, 4294.97
Wed Sep 10 10:02:29 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.98, 4294.97
Wed Sep 10 10:02:30 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.98, 4294.97
Wed Sep 10 10:02:31 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 269.99, 4294.97
Wed Sep 10 10:02:32 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 269.99, 4294.97
Wed Sep 10 10:02:33 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.00, 4294.97
Wed Sep 10 10:02:34 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.00, 4294.97
Wed Sep 10 10:02:35 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.01, 4294.97
Wed Sep 10 10:02:36 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.01, 4294.97
Wed Sep 10 10:02:37 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.02, 4294.97
Wed Sep 10 10:02:38 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.02, 4294.97
Wed Sep 10 10:02:39 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.03, 4294.97
Wed Sep 10 10:02:40 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.03, 4294.97
Wed Sep 10 10:02:41 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 270.04, 4294.97
Wed Sep 10 10:02:42 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.04, 4294.97
Wed Sep 10 10:02:43 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.05, 4294.97
Wed Sep 10 10:02:44 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.05, 4294.97
Wed Sep 10 10:02:45 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.06, 4294.97
Wed Sep 10 10:02:46 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.06, 4294.97
Wed Sep 10 10:02:47 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.07, 4294.97
Wed Sep 10 10:02:48 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.07, 4294.97
Wed Sep 10 10:02:49 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.08, 4294.97
Wed Sep 10 10:02:50 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.09, 4294.97
Wed Sep 10 10:02:51 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 270.09, 4294.97
Wed Sep 10 10:02:52 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.09, 4294.97
Wed Sep 10 10:02:53 IST 2025, Tagging ..., <not set>, <not set>, 0.01, 270.10, 4294.97
Wed Sep 10 10:02:54 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.10, 4294.97
Wed Sep 10 10:02:55 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.11, 4294.97
Wed Sep 10 10:02:56 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.12, 4294.97
Wed Sep 10 10:02:57 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.12, 4294.97
Wed Sep 10 10:02:58 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.13, 4294.97
Wed Sep 10 10:02:59 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.13, 4294.97
Wed Sep 10 10:03:00 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.14, 4294.97
Wed Sep 10 10:03:01 IST 2025, Tagging ..., <not set>, <not set>, 0.02, 270.14, 4294.97
Wed Sep 10 10:03:02 IST 2025, Tagging ..., <not set>, <not set>, 0.03, 270.15, 4294.97
